Model,Mrp,Rating,Review,Specs
"POCO C31 (Royal Blue, 64 GB)","₹7,499",4.3,"1,83,688 Ratings & 11,185 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"REDMI 10 (Midnight Black, 64 GB)","₹9,999",4.3,"1,65,144 Ratings & 10,864 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"MOTOROLA G32 (Mineral Gray, 64 GB)","₹9,999",4.2,"16,249 Ratings & 1,639 Reviews",4 GB RAM | 64 GB ROM
"POCO M4 5G (Cool Blue, 128 GB)","₹13,999",4.2,"22,699 Ratings & 1,884 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
"vivo T1X (Gravity Black, 64 GB)","₹11,999",4.5,"68,117 Ratings & 3,863 Reviews",4 GB RAM | 64 GB ROM
"vivo T1X (Space Blue, 64 GB)","₹11,999",4.5,"68,117 Ratings & 3,863 Reviews",4 GB RAM | 64 GB ROM
"POCO M4 5G (Cool Blue, 64 GB)","₹11,999",4.2,"45,400 Ratings & 3,749 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"POCO M4 5G (Power Black, 128 GB)","₹13,999",4.2,"22,699 Ratings & 1,884 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
"MOTOROLA g82 5G(White Lily, 128 GB)","₹18,999",4.2,"5,211 Ratings & 703 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"vivo T1 5G (Starlight Black, 128 GB)","₹15,990",4.3,"59,607 Ratings & 4,787 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹13,999",4.2,"32,083 Ratings & 2,613 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹5,799",4.4,"15,648 Ratings & 823 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB
"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹5,799",4.4,"15,648 Ratings & 823 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB
"Infinix HOT 20 Play (Luna Blue, 64 GB)","₹8,199",4.3,505 Ratings & 52 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"MOTOROLA e40 (Carbon Gray, 64 GB)","₹7,999",4.1,"56,085 Ratings & 5,600 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"POCO C31 (Shadow Gray, 64 GB)","₹7,499",4.3,"1,83,688 Ratings & 11,185 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"REDMI 9i Sport (Coral Green, 64 GB)","₹7,199",4.3,"2,09,377 Ratings & 12,027 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹14,999",4.3,"1,37,778 Ratings & 11,213 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"POCO M4 Pro 5G (Cool Blue, 64 GB)","₹11,999",4.3,"33,258 Ratings & 2,972 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"MOTOROLA e40 (Pink Clay, 64 GB)","₹7,999",4.1,"56,085 Ratings & 5,600 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Stargaze White, 128 GB)","₹16,499",4.4,"44,415 Ratings & 2,930 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Supersonic Blue, 64 GB)","₹14,999",4.5,"36,109 Ratings & 2,083 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹14,999",4.1,"8,567 Ratings & 933 Reviews",6 GB RAM | 128 GB ROM
"REDMI 9i Sport (Carbon Black, 64 GB)","₹7,199",4.3,"2,09,377 Ratings & 12,027 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹13,999",4.2,"41,124 Ratings & 3,691 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"MOTOROLA g52 (Metallic White, 128 GB)","₹12,999",4.2,"20,882 Ratings & 2,628 Reviews",6 GB RAM | 128 GB ROM
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹13,999",4.2,"32,083 Ratings & 2,613 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Supersonic Blue, 128 GB)","₹16,499",4.4,"44,415 Ratings & 2,930 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Meteor Black, 128 GB)","₹16,499",4.4,"44,415 Ratings & 2,930 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Meteor Black, 64 GB)","₹14,999",4.5,"36,109 Ratings & 2,083 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Stargaze White, 64 GB)","₹14,999",4.5,"36,109 Ratings & 2,083 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"APPLE iPhone 14 (Starlight, 128 GB)","₹73,990",4.6,981 Ratings & 67 Reviews,128 GB ROM
"MOTOROLA g52 (Charcoal Grey, 128 GB)","₹12,999",4.2,"20,882 Ratings & 2,628 Reviews",6 GB RAM | 128 GB ROM
"APPLE iPhone 14 (Midnight, 128 GB)","₹73,990",4.6,981 Ratings & 67 Reviews,128 GB ROM
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹14,999",4.3,"1,37,778 Ratings & 11,213 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"MOTOROLA G32 (Satin Silver, 64 GB)","₹9,999",4.2,"16,249 Ratings & 1,639 Reviews",4 GB RAM | 64 GB ROM
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹14,999",4.1,"8,567 Ratings & 933 Reviews",6 GB RAM | 128 GB ROM
"MOTOROLA g42 (Atlantic Green, 64 GB)","₹10,999",4.1,"3,075 Ratings & 385 Reviews",4 GB RAM | 64 GB ROM
"APPLE iPhone 14 (Blue, 128 GB)","₹73,990",4.6,981 Ratings & 67 Reviews,128 GB ROM
"realme 9 5G (Supersonic Black, 128 GB)","₹16,499",4.4,"44,415 Ratings & 2,930 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"Infinix HOT 20 Play (Racing Black, 64 GB)","₹8,199",4.3,505 Ratings & 52 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"Infinix HOT 20 Play (Aurora Green, 64 GB)","₹8,199",4.3,505 Ratings & 52 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹8,199",4.3,505 Ratings & 52 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"APPLE iPhone 14 (Purple, 128 GB)","₹73,990",4.6,981 Ratings & 67 Reviews,128 GB ROM
"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹15,990",4.3,"59,607 Ratings & 4,787 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹16,990",4.4,"1,57,801 Ratings & 12,539 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"REDMI Note 11 SE (Cosmic White, 64 GB)","₹11,999",4.3,"30,409 Ratings & 1,886 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"REDMI 10 (Pacific Blue, 64 GB)","₹9,999",4.3,"1,65,144 Ratings & 10,864 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"POCO C31 (Royal Blue, 64 GB)","₹7,499",4.3,"1,83,688 Ratings & 11,185 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"REDMI 10 (Midnight Black, 64 GB)","₹9,999",4.3,"1,65,144 Ratings & 10,864 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
